zone_id,zone_name,scenario,rainfall_1h,rainfall_3h,rainfall_6h,elevation,slope,distance_to_drain,drain_capacity,pump_load_pct,flood_history_count,population_density,critical_infra_flag,lat,lon,data_source,flood_severity
REAL-1013,Tilak Marg,light,3.2,6.7,9.7,17.5,0.58,214.0,86.1,88.0,1,5976.1,0,28.62893,77.23924,real_govt_record,Low
REAL-0535,NH-8 Rangpuri Chowk,heavy,38.6,77.7,112.6,21.6,4.45,250.2,76.7,93.5,1,11610.3,1,28.6299,77.24189,real_govt_record,Medium
REAL-0255,Barapullah Road,heavy,32.6,88.5,131.0,33.4,2.4,683.4,72.4,69.9,2,8090.5,1,28.6312,77.23236,real_govt_record,Medium
REAL-0866,Kela Godam Road,moderate,20.9,43.1,56.8,32.9,3.06,50.0,74.7,51.3,1,6462.5,1,28.62843,77.23446,real_govt_record,Low
ZONE-100,ZONE-100,synthetic_v1,17.64,60.55,77.93,31.59,3.97,668.68,77.47,75.43,1,4383.29,0,28.78265,77.24061,synthetic,Low
REAL-0161,Panchsheel Marg,light,5.1,12.8,17.5,27.9,3.46,364.4,74.7,92.3,4,8277.1,0,28.62946,77.23994,real_govt_record,Low
REAL-0672,NH-24 Underpass Street,extreme,39.5,95.5,134.5,21.2,2.34,436.0,74.1,42.1,1,15076.1,0,28.63102,77.24403,real_govt_record,Medium
ZONE-089,ZONE-089,synthetic_v1,71.08,79.81,151.53,48.49,0.92,746.41,94.26,35.25,2,6330.95,0,28.79543,77.31572,synthetic,Low
REAL-0913,Bharat Scouts & Guide Marg,light,8.7,19.4,29.3,18.7,3.64,564.4,94.2,43.6,1,16990.7,1,28.62916,77.24002,real_govt_record,Low
REAL-0665,Netaji Subhash Marg,light,6.4,14.2,22.2,23.7,4.05,477.6,82.5,85.3,1,21795.3,0,28.62701,77.2394,real_govt_record,Low
SYN2-0025,SYN2-0025,synthetic_v2,79.82,179.57,220.03,47.94,1.55,930.28,75.72,37.94,2,4548.49,0,28.75732,77.3424,synthetic,High
ZONE-080,ZONE-080,synthetic_v1,56.8,84.6,144.44,10.31,3.66,847.19,94.82,40.02,3,8273.57,0,28.75184,77.17463,synthetic,High
REAL-0982,Palam Colony,moderate,13.2,34.0,50.7,36.6,4.67,80.1,85.9,61.4,1,16661.4,0,28.63212,77.23395,real_govt_record,Low
REAL-0548,Najafgarh-Nangloi Road,extreme,41.4,105.9,166.4,19.3,1.89,472.1,74.1,58.9,1,10259.8,1,28.63468,77.24118,real_govt_record,Medium
ZONE-071,ZONE-071,synthetic_v1,61.41,139.67,165.09,34.13,2.64,568.54,89.31,27.93,3,24690.74,1,28.7609,77.25084,synthetic,High
REAL-0649,Maulana Johar Ali Marg,light,5.8,14.2,19.2,29.8,3.77,312.0,76.7,43.3,1,16908.9,0,28.62766,77.23816,real_govt_record,Low
REAL-0330,CV Raman Marg,moderate,23.4,53.6,73.8,31.9,1.9,135.0,87.5,37.5,2,16819.1,0,28.62816,77.23561,real_govt_record,Low
REAL-0343,Maharaja Surajmal Marg,heavy,30.7,69.8,96.4,30.9,2.63,646.7,83.0,86.5,2,8980.5,1,28.63388,77.24316,real_govt_record,Low
REAL-0058,Anuvrat Marg,moderate,25.8,52.6,82.8,24.2,4.11,278.6,85.9,55.3,11,12391.4,0,28.52913,77.18779,real_govt_record,Medium
ZONE-095,ZONE-095,synthetic_v1,65.38,97.64,167.68,32.52,2.48,441.96,93.64,57.59,5,16188.18,0,28.562,77.16022,synthetic,High
ZONE-112,ZONE-112,synthetic_v1,80.5,151.59,186.75,33.45,2.22,415.62,46.43,89.68,1,14214.99,0,28.605,77.22376,synthetic,Medium
SYN2-0030,SYN2-0030,synthetic_v2,53.15,130.09,183.29,34.52,4.95,935.49,84.03,85.52,2,17106.95,0,28.75577,77.29363,synthetic,Medium
REAL-0637,Major Hoshiyar Singh Marg,light,3.2,8.5,13.3,35.8,1.28,310.1,83.9,66.6,1,5168.5,0,28.62722,77.23548,real_govt_record,Low
REAL-0862,Dr. K.S. Krishnan Marg,moderate,22.3,49.1,68.0,27.0,3.65,550.1,74.1,88.0,1,12582.0,1,28.63228,77.23863,real_govt_record,Low
ZONE-072,ZONE-072,synthetic_v1,81.66,137.44,191.15,50.13,1.34,318.25,91.8,63.32,5,6783.08,0,28.63496,77.18344,synthetic,High
REAL-0366,R.K. Ashram Marg,moderate,16.4,36.7,52.7,34.0,4.19,155.1,76.7,59.0,2,10862.4,1,28.63113,77.23831,real_govt_record,Low
REAL-0760,Sarojini Nagar Market,extreme,50.6,138.4,183.1,43.9,4.16,475.5,86.5,68.6,1,13661.9,1,28.63222,77.24179,real_govt_record,High
ZONE-003,ZONE-003,synthetic_v1,61.62,98.72,128.97,38.06,4.69,272.57,98.47,36.04,5,5138.34,0,28.69496,77.16754,synthetic,High
