"Title: Index - List of Important Telephone Numbers (Table of Contents) (Source: Delhi Flood Control Order, 2025 - Page 4)"

S. No.,Subject,Page No.
,List of Important Telephone Numbers,
(i),"Lt. Governor’s Secretariat, Delhi",80
(ii),Council of Ministers Delhi Govt.,81
(iii),"Revenue Department, Delhi Govt.",83-94
(iv),Irrigation & Flood Control Deptt.,95-97
(v),Hathni Kund Barrage,98
(vi),Wazirabad Barrage (Under Jal Board),98
(vii),Yamuna Barrage (Under Haryana Irrigation Deptt.),98
(viii),Old Railway Bridge,99
(ix),Okhla Barrage (Under U.P. Irrigation Deptt.),99
(x),Ministry of Water Resources,100
(xi),Central Water Commission,101
(xii),"Meteorological Deptt., Civil Defense Officers",102
(xiii),"Delhi Police Officers, Army",103
(xiv),Delhi Development Authority (DDA),105
(xv),Food & Civil Supplies Deptt.,106-107
(xvi),Municipal Corporation of Delhi,108-120
(xvii),List of Dy. Commissioner of six zones,121
(xviii),Delhi Jal Board,122-123
(xix),Water Emergency,124
(xx),P.W.D. Delhi Govt.,125-127
(xxi),"Defense, Engineering Officers of Railway",128
(xxii),"D.M.R.C., Health Deptt. (Delhi Govt.), Mother Dairy",129
(xxiii),New Delhi Municipal Council,130
(xxiv),Delhi Transco Ltd.,131-132
(xxv),Indraprastha Power Gen. Co. Ltd.,132
(xxvi),BSES (Rajdhani & Yamuna Power Ltd),133-135
(xxvii),TPDDL,136
(xxviii),DSIIDC,137-140
(xxix),DUSIB,141
(xxx),Transport Deptt,142
(xxxi),Delhi Transport Corporation,143
(xxxii),Forest Department,144
(xxxiii),Animal Husbandry Development Department,145
(xxxiv),For Any Clarification/Additional Information Please Contact,146
