"Title: Telephone Numbers of Control Rooms (Source: Delhi Flood Control Order, 2025 - Page 5)"

S.No.,CONTROL ROOM,TELEPHONE NO.
1.,Police,"100, 112"
2.,Fire,101
3.,Ambulance,102
4.,Disaster Management (Help Line No.),"1077, 23831077"
5.,Nodal Officer DM (East) Office,"21210862, 21210847"
,EOC (Emergency Operating Centre Flood),"21210852, 21210857"
6.,Irrigation & Flood Control Department,"21210867-68,
9958806142,
9958806172"
7.,"Central Water Commission (CWC)
EE (HOC)","26868120, 26858452,
26106523, 9425776223"
8.,"P.W.D.
WhatsApp Number","23490323,1800110093
8130188222"
9.,"Control Room of MCD (Toll free)
General Municipal Public Helpline",155305
,"MCD Head Quarter,","23225151,"
10.,"EE/ EMD-5 Nodal Officer Flood Control
DDA",9953306075
11.,Railways Engineering Control Room,9717638581
12.,NDMC Control Room,"1533, 49993555
23348300-01"
13.,DJB Control Room,"1916, 9650679966"
14.,DMRC Helpline No,155370
