"Title: Central Flood Control Room - Wireless Stations by River/Drain (Source: Delhi Flood Control Order, 2025 - Page 10)"

S.N.,River/Drain,,"Name of
wireless
Post",Location
1.,River Yamuna,1,"Central Flood
Control Room",L.M. Bund Shastri Nagar
,,2,CWC Office,Katwaria Sarai
,,3,Palla,"Palla Store, CD-VII"
,,4,Jhangola,"Jhangola Store, CD-VII"
,,5,Jagatpur,"Jagat Bund RD.1450m.,
CD-VI"
,,6,Left Forward Bund,"L.F.Bund Store, CD-IV
(Sonia Vihar)"
,,7,Jaitpur Store,"Jaitpur Store, CD- X"
,,8,Saket,Saket (Saidulajab) CD-V
,,9,Chilla,"Chilla Store, CD-III"
2.,Najafgarh Drain,10,Dhansa,"Dhansa Store, CD-I"
,,11,Kakraula,"Kakraula Store, CD-XI"
,,12,Basaidarapur,"Office Complex,
CD-XIII"
,,13,Bharat Nagar,"Office Complex, CD- VI"
3.,Supplementary Drain,14,Nangoi,"Office Complex, MD – I"
,,15,"Rohini Office
Complex","Office Complex
CD-VIII."
4.,Jahangirpuri Drain,16,Gopalpur,"Gopalpur Store, CD- VI"
