"Title: Annexure B - Catchment Design (Source: Delhi Flood Control Order, 2025 - Page 32)"

,,Catchment,,Design,
,,,,,
1. Supplementary Drain,34.50,486.49,"1,26,000",141.57,5000
2. Bawana Escape,19.79,70.39,"18,231",19.29,681
3. Drain No. 6,14.73,34.00,"8,807",13.00,462
4. Burari Creek,8.86,5.70,"1,476",2.10,74
5. Burari Drain,6.04,2.49,644,0.71,25
6. Bankner Link Drain,5.43,12.92,"3,348",3.34,118
7. New Drain,5.40,108.25,"28,038",33.40,1180
8. Khera Khurd Drain,5.20,3.91,"1,013",2.0,71
9. Ghoga Link Drain,5.12,5.71,"1,480",1.63,58
10. Naya Bas Link Drain,3.00,3.20,829,0.91,32
11. Sanoth Link Drain,3.35,4.10,"1,062",1.16,41
12. Alipur Link Drain,0.88,2.40,622,0.89,31
13. Jagatpur Link Drain,2.46,0.39,250,0.28,10
14. Tikri Khurd Link Drain,1.94,2.39,620,0.32,11
15. Khera Kalan Drain (Link),0.86,1.70,440,0.04,1.41
16.Jahangirpuri Outfall drain,5.47,6.25,1619.43,48.15,1700
17. Toe Drain,4 .00,0.58,150.00,0.52,18
