"Title: Annexure B - Catchment Data: Kanjhawala Block, West Delhi (Source: Delhi Flood Control Order, 2025 - Page 33)"

1. MungeshPur Drain,37.75,182,47138,51.54,1820
2. Bazitpur Drain,8.05,8.5,2202,2.41,85
3. Bawana Drain,10.83,10,2590,2.83,100
4. Ladpur Link Drain,2.30,2,518,0.57,20
5. Katewara Link Drain,1.33,2,518,0.23,8
6. Jatkhor Link Drain,3.76,1.75,453,0.50,17.50
7. Nangal Thakran Link Drain,0.90,0.60,155.4,0.17,6
8. Nangloi Drain,2.10,13.75,3561,3.14,111
9. Madanpur Drain,8.13,19.00,4921,5.38,190
"10.Karari Suleman Nagar
Drain",7.84,11.10,2875,3.11,110
11. Sultanpur Drain,9.20,6.49,1657.60,1.70,60
12. Rasulpur Link Drain,0.75,0.50,129.50,0.14,5
13. Mundka Peripheral Drain,2.35,2.65,686.4,0.37,13
14. Ranhola Pond Drain,1.16,1.00,259,0.28,10
3. Najafgarh Block-South West Delhi,,,,,
1.Najafgarh Drain,57.11,4223.57,1093900,283.13,10000
2. PalamDrain,8.78,19.79,5128.00,86,3037
3. Palam Link Drain,1.47,3.17,821,14.4,509
4.Najafgarh Pond Drain,1.95,0.02,176,0.88,31
5. Nasirpur Link Drain,2.90,4.01,1038,28.88,1020
6.Bijwasan Drain,4.20,10.64,2755.8,4.81,170
7. Pankha Road Drain,3.60,3.16,818,28.32,1000
"8. Shahbad Mohammadpur
Drain",0.23,9.37,2427,4.39,155
"9. Bhupania Chudania Drain
(including Haryana portion) (in NCT)",8.55,14.3,370.37,40.49,1430
10. Mundela Drain,12.50,6.00,1554,1.70,60
11.Nangli Sakrawati Link Drain,0.93,0.08,20.7,0.68,24
