"Title: Annexure C - Outfalling Drains in River Yamuna (continued) (Source: Delhi Flood Control Order, 2025 - Page 36)"

,House,,,,,,
15,"Sen Nursing
Home
Nallah/Nallah
No. 12",865,45.64,1.43,10.80,2.5,
16,"Nallah No. 12
A",267,-,1.24,2.50,5.30,
17,Nallah No. 14,336,6.05,1.56,9.14,2.22,
18,Nallah No. 15,,-,1.21,3.15,2.5,
19,"Abul Fazal
Drain",,38.28,2.00,1.50,2.00,
20,"RME 180
Madanpur
Khadar",,-,1.38,2.25,1.50,
(C) Outfalling through pumping system by MCD/DJB.,,,,,,,
21,Sonia Vihar,,-,3.80,-,-,
22,Kailash Nagar,,9.57,1.48,-,-,
23,Shastri Park,,5.89,0.68,-,-,

-- Table 2 --
*Additional Drain,,,,,,,
1,"Sunehri Pulla
Nalla",2369,,1.425,10.00,2.00,
2,Kushak Nalla,2343,,8.1,30.00,1.50,
