"Title: Annexure E - Drains and Regulator Operation Levels (continued) (Source: Delhi Flood Control Order, 2025 - Page 40)"

17.,"New Course of Burari
Creek drain at RD 640 m",5 to 8,205.57,209.185,205.64,"32 H.P. (03
Nos.)
7.5 H.P. (08
Nos.)
20 HP (04 Nos.)",
,Yamuna river,,,,,,
18.,Magazine road drain,1 x 3.00,206.400,209.676,207.15,25 HP,"Sh. Vivek
Chauhan,
EE CD-II
9958890102"
19.,Old Chandrawal drain,2 x 2.00,206.400,209.640,207.15,25 HP,
20.,Khyber Pass drain,1 x 3.00,206.500,209.605,207.12,25 HP,
21.,Metcalf house drain,1 x 1.98,204.176,209.450,205.55,32 HP,
22.,"Qudsia Ghat drain
(Now Vasudev Ghat)",1 x 6.00,204.370,209.132,205.74,60 HP,
23.,Tonga stand drain,1 x 2.00,204.250,208.803,204.70,60 HP,
24.,Vijay Ghat,5.00x5.70,202.90,207.36,204.00,"82 HP(2Nos.)
62 HP(2Nos.)","Sh. Gagan
Gaur,
EE CD-XII
9958890112"
25.,Civil Military Drain,5.10x 6.00,202.64,207.21,206.45,"82 HP(2Nos.)
32 HP(2Nos.)
25 HP(2Nos.)",
26.,"Delhi Gate/ Power
House",7.62x 5.48,202.22,206.22,205.36,"82 HP(3Nos.)
62 HP(3Nos.)",
27.,"Sen Nursing Home
Nallah /
Nallah No. 12","10.90x
4.70",202.78,205.80,205.60,82 HP(4Nos.),
28.,Nallah No. 12A,1.20x 4.75,201.73,205.80,205.20,5 HP(2Nos.),
29.,Nallah No. 14,9.00x 4.30,202.31,205.39,205.96,"82 HP(1Nos.)
32 HP(3Nos.)
10 HP(2Nos.)",
30.,Nallah No. 15,2.50x 3.80,201.86,204.91,,7.5 HP(1Nos.),
31.,Chilla Regulator L/S,,198.78,200.75,,If required,
32.,Chilla Regulator D/S,,198.78,200.60,,,
33.,Barapulla Nallah,No regulator,,,,,
34.,"Maharani Bagh Nallah /
NallahNo.17 /
Taimur Nagar Drain",No regulator,,,,,
35.,Shahdara Outfall drain,No regulator,,,,,
36.,"Abdul
Fazal Drain",Maintained by UP Irrigation,,,,,"Sh. Prashant
Mishra,
EE CD-X
9958890110"
37.,"RME 180 Mtr. Madanpur
Khadar",2.00,198.00,200.70,,32 HP,
