"Title: Annexure F - Important Data on Embankment Levels and Related Water Levels (Source: Delhi Flood Control Order, 2025 - Page 41)"

1.,Yamuna,"Height
Observed
H.F.L.
(1978/2023)","Embankment
Level",Pond Level,"Warning
Level",Danger Level
"S.
No.",Site,,,,,
(i),R.M.E. at Palla,-,216.200,-,210.600,211.800
(ii),R.M.E. at Jhangola,-,214.400,-,209.600,210.800
(iii),"Jagatpur Bund RD-
1750 m",-,211.000,-,207.000,208.000
(iv),"L.F. Bund RD -0m to
RD-5750m",-,"210.000
211.800","-
-","205.500
206.400","206.500
207.400"
(v),Wazirabad Barrage,"209.400
(2023)",-,204.830,205.400,206.400
(vi),Old Railway Bridge,"208.660
(2023)",-,-,204.500,205.330
(vii),Yamuna Barrage,205.340,208.450,202.230,-,-
(viii),"Okhla Barrage Okhla
Wier","-
203.240
(1978)","-
-","201.350
-","-
-","-
-"
2.,Najafgarh Drain,"Level of
Embankment
(in mtrs)","Sill Level of
Regulator
(in mtrs.)","Capacity of
regulator
(in Cusecs)","Warning
Level",Danger Level
"S.
No.",Site,,,,,
(i),Dhansa Bund,214.400,-,-,211.440,"212.440
213.575
(HFL – 1977)
discharge -
2,98,565 Cusec
(23.08.1977)"
(ii),"Regulator at Dhansa
Old
New","214.400
-","209.700
209.200","3000
5000","211.530
211.530","-
-"
(iii),Chhawla,213.000,-,-,-,-
(iv),"Regulator at Kakraula
Old
New","-
-","207.500
207.500","3000
5000","-
-","-
-"
(v),Basaidarapur Bridge,211.970,-,-,-,-
(vi),Timarpur Bridge,211.370,-,-,-,-
