"Title: Annexure I - Telephone Numbers of Various Departments / Agencies (Source: Delhi Flood Control Order, 2025 - Page 50)"

S. No.,Department / Agency,Telephone Numbers
1.,Lt. Governor's Secretariat,"011-23975022, 23960809"
2.,Chief Secretary Delhi,"23392100, 23392101"
3.,ACS Urban Development,23392253
4.,Divisional Commissioner,"23962825, 23914805"
5.,ACS I&FC,23392121
6.,Chief Executive Officer Delhi Jal Board,23511658
7.,ACS PWD,23392065
8.,Vice Chairman DDA,"24697900, 24699479"
9.,Commissioner Delhi Municipal Corporation,23225901 – 02
10.,Secretary New Delhi Municipal Counsel,23742451
11.,"Chief Executive Officer Delhi Urban Shelter
Improvement Board","23379626, 23370571"
12.,Secretary Education,"23890187, 23890119"
13.,Director Education,"23890172, 363"
14.,"HOD Secretary cum Commissioner Food &
Supply","23379252, 23378759"
15.,"Additional Principal Chief Conservator of
Forests, Department of Forests and Wildlife",011-23370679
16.,Director Civil Defence,"23962825, 23914805"
17.,Secretary Health,"23392017, 22309220,
22306239"
18.,Commissioner of Delhi Police,"23469501, 23469601,
20818065 Fax"
19.,"Chief Executive Officer Delhi Cantonment
Board","25693837, 25695450"
20.,Special CP Traffic,"23469514, 23469515,
23469715"
21.,Army Head Quarter Enquiry,23018197
22.,General Manager Mother Dairy,22471991
23.,CEO BSES Yamuna Power Ltd.,41249382
24.,CEO BSES Rajdhani Power Ltd.,"399999085, 9313404014"
25.,Head TPDDL,"9818100567, 9810191664"
26.,Chairman Central Water Commission,"26715351, Fax 26108614"
27.,"Director FFM Central Flood Control Room,
CWC",26182836
28.,Metrological Department,"24617195, 24344563"
