"Title: Revenue Areas of Sub-Division (Source: Delhi Flood Control Order, 2025 - Page 56)"

S.No.,"Revenue
sub-division",Revenue Areas of Sub-Division
(cid:3) (I)DISTRICT SOUTH-WEST,,
1,Dwarka,"Vikas Puri, Uttam Nagar, Matiyala"
2,Najafgarh,"Najafgarh,Baba Haridas Nagar, Zaffarpur"
3,Kapashera,Chhawla Kapashera
(II)DISTRICT SOUTH,,
4,Saket,"Neb Sarai, Mehrauli, Fatehpur Beri, Dhana"
5,Hauz Khas,"Hauz Khas, Saket, Malviya Nagar, Safdarjung Enclave, Ambedkar Nagar"
6,Mehrauli,"Mehrauli, Fatehpur Beri, Vasant Kunj"
(III)DISTRICT NORTH-WEST,,
7,Rohini,"Mangol Puri, Aman Vihar,Vijay Vihar, South Rohini, North Rohini"
8,Kanjhawala,"Kanjhawala, Mundka, Begam Pur"
9,"Saraswati
Vihar","Ashok Vihar, Bharat Nagar, Keshav Puram, Subhash Palace, Shalimar
Bagh,Rani Bagh, Maurya Enclave"
(IV)DISTRICT NORTH,,
10,Model Town,"Bhalswa, Mahindera Park, Jahangirpuri, Adarsh Nagar, Model Town,
Mukherjee nagar"
11,Narela,"Narela, Bawana,Shahbad Dairy"
12,Alipur,"Alipur, Swaroop Nagar, Samaipur Badli"
(V)DISTRICT CENTRAL,,
13,Civil Lines,"Burari,Timarpur, Roop Nagar,Maurice Nagar, Civil Lines"
14,Kotwali,"I.P.Estate, Darya Gunj,Jama Masjid, Chandni Mahal, Sarai Rohilla, Gulabi
Bagh, Sadar Bazar Bada Hindu Rao, Sabzi Mandi, Kotwali, Lahori Gate,
Kashmere Gate, Old Delhi Rly. Station, Metro Kashmere Gate"
15,Karol Bagh,"Deshbandhu Gupta Road, Prashad Nagar, Karol Bagh,Rajinder Nagar,
New Delhi Railway Station, Hauz Qazi, Pahargunj, Nabi Karim, Kamla
MKT."
(VI)DISTRICT NORTH - EAST,,
16,Seelampur,"Seelampur, New Ushmanpur ,Zafrabad ,Khajuri, Bhajanpura"
17,Yamuna Vihar,"Yamuna Vihar, Golul Puri, Dayal Pur"
18,"Karawal
Nagar","Sonia Vihar, Karawal Nagar"
