"Title: Revenue Areas of Sub-Division - District East / New Delhi (Source: Delhi Flood Control Order, 2025 - Page 57)"

(VII)DISTRICT EAST,,
19,Gandhi Nagar,Geeta Colony
20,Preet Vihar,"Shakarpur, Preet Vihar, Jagatpuri, Madhu Vihar, Mandawali, Laxmi
Nagar, Patpargunj Indl. Area"
21,Mayur Vihar,"New Ashok Nagar, Mayur Vihar, Kalyan Puri, Ghazipur, Pandav Nagar"
(VIII)DISTRICT NEW DELHI,,
22,Chankaya Puri,"Tughlak Road, Chankaya Puri, Tilak Marg"
23,"Delhi
Contoment","Inderpuri, Mayapuri, Delhi Cantt. Naraina"
24,Vasant Vihar,"Vasant Vihar South, North,IGI Domestic Airport, Vasat Vihar,R.K. Puram,
South Campus, Safdarjung Enclave, Sarojni Nagar"
(IX)DISTRICT WEST,,
25,Patel Nagar,"Tilak Nagar, Khyala, Moti Nagar, Ranjeet Nagar, Patel Nagar, Anand
Parvat, Bindapur"
26,"Rajouri
Garden","Rajouri Garden, Kirti Nagar,Hari Nagar"
27,Punjabi Bagh,"Punjabi Bagh, Mianwali Nagar Pachim Vihar"
(X)DISTRICT SOUTH-EAST,,
28,"Defence
Colony","Hazrat Nizamuddin, Sunligh Colony, New Friends Colony, Zamia Nagar,
Lodhi Colony, Lajpat Nagar, Aman Vihar, Defence Colony"
29,Kalkaji,"Sangam Vihar, Pul Pehladpur, Okhla Indl. Area, Govind Puri, Kalkaji"
30,Sarita Vihar,"Jaitpur, Badarpur, Sarita Vihar"
31,Shahadara,"Jyoti Nagar, Mansarovar Park, Shahadara, Welcome, Zafrabad, Gandhi
Nagar, Krishna Nagar"
32,Seemapuri,"Seemapuri, G.T.B. Enclave, Nand Nagri, Harsh Vihar"
33,Vivek Vihar,"Anand Vihar, Vivek Vihar"
