"Title: Compiled List of Water Logging Locations Observed in 2022 (Source: Delhi Flood Control Order, 2025 - Page 58)"

S. No.,Name of Road,Specific Location,Date,Frequency
1.,Bhairon Road,Uchandbnder Railway Bridge,"13.08.2020
17.08.2020
19.08.2020
23.01.2022
08.07.2023
09.07.2023
10.09.2023",
2.,Maulana Azad Road,"Parking Behind Vigyan
Bhawan","31.08.2021
23.01.2022",
3.,Rajpath,Suoth Rajpath,23.01.2022,
4.,Ring Road,In front of WHO Building,"21.07.2020
23.01.2022",
5.,DND Flyway,"At merging point Sarai Kale
Khan",02.09.2022,
6.,NH-24,"Gazipur Mandi near Murge
Market",02.09.2022,
7.,NH-44,"Near Apple Mandi Khampur
village and near Banku
Rasai",05.08.2022,
8.,"Gurugram- Parade
Road",GGR- PDR,"23.05.2022
20.07.2022
28.07.2022",
9.,New Rohtak Road,"Anand Parbat near Gali No.
10/ Zakhira to Anand Parbat","23.05.2022
30.06.2022
11.07.2022
16.07.2022
20.07.2022
05.08.2022
22.09.2022
08.10.2022",
10.,Outer Ring Road,Near Barapulla Flyover,23.05.2022,
11.,Pusa Road,Bagga Link Hanuman Mandir,23.05.2022,
12.,Rani Jhansi Marg,Filmistan,23.05.2022,
13.,Seelampur Road,Seelampur Flyover,23.05.2022,
14.,Shastri Park Road,Loop Shastri Park,23.05.2022,
15.,Barapullah Road,Barapullah Round About,30.05.2022,
16.,Burari Road,Burari Authority,30.05.2022,
17.,Outer Circle,"Connaught Place Regal
Cinema",30.05.2022,
18.,Teen Murti Marge,Near RTMH,30.05.2022,
19.,Tuglak Road,Gol Methi,"30.05.2022
28.06.2024
20.08.2024",
20.,Neela Gumbad,BSF Mess,17.06.2022,
21.,Purana Quila Road,"Mathura Road New
Underpass",17.06.2022,
22.,Rafi Marg,"Metro Station Rail Bhawan,
Boat Club, Udhyog Bhawan","17.06.2022
30.06.2022",
