"Title: Water Logging Locations - 2022 (continued) (Source: Delhi Flood Control Order, 2025 - Page 63)"

106.,Rohtak Road,Zakhira Flyover,"13.07.2018
20.07.2018
26.07.2018
01.09.2018
02.09.2018
06.09.2018
08.09.2018
20.06.2017
20.07.2017
30.06.2022"
107.,SSN Marg,DLF Farms (both carriageway,"02.09.2021
11.09.2021
30.06.2022"
108.,Vikas Marg,"Preet Vihar Metro Station
Gate No. 2 towards Nirman
Vihar, Vikas Marg","13.07.2018
27.07.2018
01.09.2018
02.09.2018
03.09.2018
06.09.2018"

-- Table 2 --
109.,Vikas Marg,"Under Laxmi Nagar Metro
Station","23.07.2017
30.06.2022",
110.,Vikas Marg,Vijay Chowk,30.06.2022,
111.,Wazirabad Road,Bhajanpura Mazar,30.06.2022,
112.,Wazirabad Road,Loni Gol Chakkar,"13.07.2018
19.07.2018
20.07.2018
22.07.2018
25.07.2018
26.07.2018
13.08.2018
18.08.2018
23.08.2018
01.09.2018
06.09.2018
30.06.2022",
113.,Palam Road,"Near Air Force Station exit
gate",16.07.2022,
114.,"Rao Tula Ram Marg
(RTR Marg)","Near Anand Niketan,
R.K. Puram",16.07.2022,
115.,Ring Road,"Dhaula Kuan Flyover Loop
towards Naraina","20.06.2017
28.06.2017
30.06.2017
07.08.2017
19.07.2020
16.07.2022",
116.,Thimayya Marg,Near Redlight,"11.09.2021
16.07.2022",
117.,Vande Matram Marg,Buddha Garden Gate No. 2,17.07.2022,
118.,"Mahipalpur to
Gurugram (NH-48)",Under Mahipalpur Flyover,19.07.2022,
119.,Dwarka Road,"Rajapuri Chowk near Sector-
9, Dwarka",20.07.2022,
120.,"Firni Road, Najafgarh","Chhawla Bus Stand
Najafgarh",20.07.2022,
121.,Kautilya Marg,Near Roundabout,20.07.2022,
