"Title: Water Logging Locations - 2022 (continued) (Source: Delhi Flood Control Order, 2025 - Page 65)"

,,,"03.07.2024
09.07.2024
31.07.2024
07.08.2024
08.08.2024
11.08.2024
12.08.2024
29.08.2024
12.09.2024",
149.,Mathura Road,Near Apollo Hospital,"22.10.2022
08.07.2023
09.07.2023",
150.,NH-8,Near Shiv Murti,"22.09.2022
08.10.2022",
151.,"Ring Road Mayapuri to
Narayana",Both side F/O Narayana,22.10.2022,
152.,"Ring Road Nigam Both
Ghat",MCD Chowk,22.10.2022,
153.,"Road No. 13-A Sarita
Vihar",Near Shaheen Bagh Nallah,22.10.2022,
154.,Rohtak Road,"Rajdhani Park to Mundka
Pillar No. 448 to 460","22.10.2022
09.10.2022",
155.,--,CDR Chowk,23.09.2022,
156.,--,Nangli underpass,23.09.2022,
157.,--,Near Kendriya Sachivalaya,23.09.2022,
158.,GTK Road,Libaspur underpass,"11.09.2021
23.09.2022",

-- Table 2 --
159.,GTK Road,"Singhu Border near Petrol
Pump",23.09.2022,
160.,Mandi Road,Mandi Village Mehrauli,"23.09.2022
10.07.2024
02.09.2024",
161.,Mathura Road,W-Point to Zoo,23.09.2022,
162.,"MB Road (Mehrauli-
Badarpur Road)",Near Sainik Farm,"11.07.2017
20.07.2017
23.09.2017
23.09.2022",
163.,"MG Road (Mehrauli –
Gurugram Road)","Andheria Mor towards
Gurugram side and Vasant
Kunj",23.09.2022,
164.,NH-44,Khampur Singhu Border,23.09.2022,
165.,Ring Road,"Maharani Bagh Taim ur
Nagar Cut",23.09.2022,
166.,Ring Road,Under Nizamuddin Bridge,23.09.2022,
167.,SSN Marg,Near Qutub Minar,"08.08.2021
23.09.2022",
168.,"Veer Banda Bairagi
Marg",Under Flyover Azad Market,23.09.2022,
169.,Abai Marg,Chanakyapuri Abai Marg,24.09.2022,
