"Title: Compiled List of Water Logging Locations Observed in 2023 (Source: Delhi Flood Control Order, 2025 - Page 67)"

1.,100 Foota Road,"Burari 100 Foota Road, Ajit
Vihar",10.07.2023,
2.,"100 Foota Road,
Burari","100 Foota Road, Sant Nagar",09.07.2023,
3.,"100 Foota Road,
Mehrauli",100 Foota Road Mehrauli,09.07.2023,
4.,60 Foota Road,Vishwas Nagar Shahdara,09.07.2023,
5.,"Abai Marg-San Martin
Marg",Abai Marg-San Martin Marg,09.07.2023,
6.,"Army Battle Honours
Mess (ABHM) Marg","Army Battle Honours Mess
(ABHM) Marg",08.07.2023,
7.,Ashok Vihar Market,Ashok Vihar Market,"08.07.2023
09.07.2023",
8.,Aurobindo Marg,IIT Flyover,08.07.2023,
9.,Aurobindo Marg,Kalu Sarai,09.07.2023,
10.,Aurobindo Marg,Mother International School,"03.05.2023
08.07.2023
09.07.2023",
11.,Aurobindo Marg,"Near Safdarjung Madarsa,
Jor Bagh",09.07.2023,
12.,Aurobindo Marg,Near T.B. Hospital,03.05.2023,
13.,Aurobindo Marg,"PTS Red Light, Malviya Nagar","08.07.2023
09.07.2023
10.09.2023",
14.,Aurobindo Marg,Yusuf Sarai Market,09.07.2023,
15.,Azaz Market Road,"Under ROB, Nawab Ganj",09.07.2023,
16.,"Baba Banda Singh
Bahadur Marg","AIIMS to Sarai kale khan both
carriageway",01.05.2023,
17.,"Baba Kharak Singh
Marg",Baba Kharak Singh Marg,08.07.2023,
18.,Bawana Road,"Samaipur Badli under pass
Metro station",08.07.2023,
19.,Benito Juarez Marg,"Venkateswara College, Satya
Niketan",09.07.2023,
20.,Bhairon Marg,Back side Hall No.14,26.07.2023,
21.,Bhairon Marg,"Gate No.2, Pragati Maidan","08.07.2023
26.07.2023",
22.,Bhairon Marg,Gate No.8 Pragati Maidan,10.09.2023,
23.,Bhairon Marg,Gate No.6 Near Craft Museum,26.07.2023,
24.,Bhairon Marg,In front of Hall No.5,26.07.2023,
25.,Bhairon Marg,Inside Bhairon Mandir Parking,"27.05.2023
08.07.2023
09.07.2023",
26.,Bhairon Marg,Mathura Marg,26.07.2023,
27.,Bhairon Marg,"Near Gate No.5B, Pragati
Maidan Infort of Craft Museum","27.05.2023
08.07.2023
09.07.2023",
28.,Bhairon Marg,Parking at Hall No.11 &12,26.07.2023,
