"Title: Water Logging Locations - 2023 (continued) (Source: Delhi Flood Control Order, 2025 - Page 70)"

88.,Mathura Road,"Gate No. 6, Pragati Maidan,
Carriageway from Zoo to
W-Point",27.05.2023,

-- Table 2 --
89.,"Maulana Johar Ali
Marg","Maulana Johar Ali Marg to
Okhla",08.07.2023,
90.,MB Road,"Ambedkar Nagar Depot/
Terminal","25.06.2023
08.07.2023
09.07.2023",
91.,MB Road,"Badarpur towards Ashram
Jasola Metro Station",15.07.2023,
92.,MB Road,Devli,08.07.2023,
93.,MB Road,"Hamdard Road Both
Carriageway",06.07.2023,
94.,MB Road,Hamdard T-Point,08.07.2023,
95.,MB Road,Infront of SDM Office,09.07.2023,
96.,MB Road,Khanpur to Tigri Mor,"27.05.2023
25.06.2023
08.07.2023
09.07.2023",
97.,MB Road,MB Road,08.07.2023,
98.,MB Road,Pul Prahladpur,"01.04.2023
08.07.2023
31.07.2024
29.08.2024",
99.,MB Road,Saket Metro Station,09.07.2023,
100.,MB Road,Savitri Flyover,15.07.2023,
101.,MB Road,"Vayusenabad to T-Point Point
Hamdard/near BSF Camp","27.05.2023
08.07.2023
09.07.2023",
102.,"Mehrauli-Mahipalpur
Road",Fortis Hospital Red Light,"27.06.2023
08.07.2023
09.07.2023",
103.,"Mehrauli-Mahipalpur
Road","Mahipalpur Chowk/ Under
Mahipalpur Flyover","08.07.2023
09.07.2023",
104.,Minto Road,Minto Bridge,"08.07.2023
28.06.2024
31.07.2024
20.08.2024
24.08.2024",
105.,"Mother Teresa
Crescent Road","Mother Teresa Crescent -
Sardar Patel Marg/ 11 Murti","08.07.2023
09.07.2023",
106.,Motilal Nehru Marg,R/A MLNP,09.07.2023,
107.,MP Road,M.P Road Sukhdev Viahr,08.07.2023,
108.,"Najafgarh-
Bahadurgarh Road",CRPF Camp Jharoda Kalan,09.07.2023,
109.,"Najafgarh-
Bahadurgarh Road",Naveen Palace Jharoda Kalan,09.07.2023,
110.,"Najafgarh-
Bahadurgarh Road","Sainik Enclave-2, Jharoda
Kalan",09.07.2023,
111.,"Najafgarh-
Bahadurgarh Road","Subzi Mandi, Najafgarh",08.07.2023,
112.,"Najafgarh-kapashera
Road",Bijwasan Market,27.05.2023,
113.,Najafgarh Road,"Moti Nagar Flyover, near TATA
Showroom",09.07.2023,
114.,Najafgarh Road,"Tuda Mandi, Najafgarh",04.07.2023,
