"Title: Water Logging Locations - 2023 (continued) (Source: Delhi Flood Control Order, 2025 - Page 72)"

,,,"31.07.2024
29.08.2024
02.09.2024",
138.,"Old Delhi Gurugram
Road",Kapashera Chowk,"27.05.2023
09.07.2023",
139.,"Old GT Road/ Ansari
Road Shastri Park",Old Iron Bridge,27.05.2023,
140.,Old Seelam Pur,Old Seelam Pur,27.05.2023,
141.,Outer Circle,Outer Circle Connaught Place,08.07.2023,
142.,Outer Ring Road,"Beneath Flyover Mangolpuri,
C- Block",30.03.2023,
143.,Outer Ring Road,Chirag Dilli Red Light,"08.07.2023
09.07.2023
10.07.2023
12.07.2023",
144.,Outer Ring Road,"F-Block, Gandhi Vihar, Gopal
Pur",09.07.2023,

-- Table 2 --
145.,Outer Ring Road,Haiderpur,"08.07.2023
09.07.2023",
146.,Outer Ring Road,"Main Gate Delhi Haat,
Pitampura",03.05.2023,
147.,Outer Ring Road,Mangolpuri Flyover both side,30.03.2023,
148.,Outer Ring Road,Munirka Village,"08.07.2023
09.07.2023",
149.,Outer Ring Road,"National Market, Paschim
Vihar",09.07.2023,
150.,Outer Ring Road,"Peeragarhi Chowk to
Mangolpuri Flyover",08.07.2023,
151.,Outer Ring Road,"Pitampura Police Line to West
Enclave",30.03.2023,
152.,Outer Ring Road,Under Modi Mill Flyover,"06.07.2023
08.07.2023
09.07.2023",
153.,Panchsheel Marg,"Panchsheel Marg-San Martin
Red Light",08.07.2023,
154.,Panchsheel Marg,"Shantipath/Panchsheel
Crossing towards R/A Kautliya",08.07.2023,
155.,Pankha Road,"Dabri Flyover on the Loop
Coming from Dabari Side","21.06.2023
12.08.2024",
156.,"Pankha Road/
Cariappa Marg",Near Kirby Place Red Light,25.06.2023,
157.,Patparganj Road,Infront of Mother Dairy,04.04.2023,
158.,Patparganj Road,"Pandev Nagar Flyover, main
road mother Dairy","03.05.2023
09.07.2023",
159.,Patparganj Road,Pandev Nagar UnderPass,"27.05.2023
30.05.2023
08.07.2023",
160.,"Pocket-16, Sector-22,
Rohini","Pocket-16, Sector-22, Rohini",09.07.2023,
161.,Pragati Maidan Tunnel,"Pragati Maidan Tunnel,
Bhairon Road to Ring Road &
vice versa",10.07.2023,
