"Title: Water Logging Incidents Observed During 2024 (Total Locations: 165) (Source: Delhi Flood Control Order, 2025 - Page 78)"

SI. No.,Name of Specific Location,Name of Road,"Date of Water
Logging"
1.,Ansari Road,Vivek Vihar underpass,28.06.2024
2.,Arakshan Road,Paharganj,28.06.2024
3.,Avantika Market Marg,Pole Star School,27.06.2024
4.,Badli Road,Underpass,28.06.2024
5.,Bamnikhera Road,Hasanpur,28.06.2024
6.,Bhiku Ram Jain Marg,Civil Lines,28.06.2024
7.,Boulevard Road,Gate No. 5 Metro Station,28.06.2024
8.,Boulevard Road,Khoya Mandi U-Turn,28.06.2024
9.,Ch. Fateh Singh Marg,PS Timarpur to Wazirabad Pul,"28.06.2024
15.07.2024
31.07.2024
10.08.2024
18.08.2024
20.08.2024"
10.,Chand Cinema Road,"Kalyanpuri Senior Secondary
School",28.06.2024
11.,Chelmsford Road Munja Chowk,Near NDRS,28.06.2024
12.,DDU Marg,"Minto Road to DDU, Kali Mandir",28.06.2024
13.,Dr. Bhim Rao Ambedkar Marg,"Bagga Link Roundabout
Hanuman Mandir",27.06.2024
14.,Dr. K.S. Krishnan Marg,"East Patel Nagar Bus Stand on
the carriageway going towards
Ratanpuri",13.08.2024
15.,Girdhari Lal Goswami Marg,"Opposite main gate of Katputli
Colony on the carriage towards
Naraina",15.07.2024
16.,GTK Road,Ashok Vihar flyover,28.06.2024
17.,IP Marg,Indraprastha,20.08.2024
18.,IP Marg,"Near Old Delhi Police
Headquarters to IP Flyover",31.07.2024
19.,Jawahar Lal Nehru Marg,JLN Marg to Delhi Gate,"27.06.2024
01.08.2024"
20.,Kela Godam Road,Azadpur Mandi,28.06.2024
21.,Khoda Chowk,"Khoda Chowk, Kalyanpuri",07.08.2024
22.,Khudiram Bose Marg,Mayur Vihar Metro Station,09.08.2024
23.,Max Hospital Road,Haiderpur Metro Station,27.06.2024
24.,"NH-44, GTK Road","In front of Khatu Shyam Mandir,
Alipur (Lower GTK Road)",31.07.2024
25.,"NH-44, GTK Road","Libaspur Underpass Lower GTK
Road",28.06.2024
26.,"NH-44, GTK Road","Nangli Underpass Lower GTK
Road",28.06.2024
27.,"NH-44, GTK Road","Swaroop Nagar to Village Nangli
Poona","24.07.2024
13.08.2024
16.08.2024"
