"Title: Water Logging Locations - 2024 (continued) (Source: Delhi Flood Control Order, 2025 - Page 79)"

,,,11.09.2024
28.,"NH-44, GTK Road","T-Point Sanjay Gandhi
Transport Nagar to Libaspur
underpass Lower GTK Road",28.06.2024
29.,Noida Link Road,Pandav Nagar Metro Station,09.08.2024
30.,Outer Ring Road,Chandgi Ram Akhara,28.06.2024
31.,Outer Ring Road,ISBT Kashmere Gate,28.06.2024
32.,Outer Ring Road,Kela Ghat,28.06.2024
33.,Outer Ring Road,Majnu Ka Tila,28.06.2024
34.,Outer Ring Road,"Metro Pillar No. 289 on the
carriageway leading from
Mukarba Chowk to Madhuban
Chowk","03.07.2024
10.09.2024"
35.,Outer Ring Road,Wazirpur Industrial Area,28.06.2024
36.,Outer Ring Road,"Y-Point, Ashok Vihar",28.06.2024
37.,Raj Niwas Marg,Civil Lines,28.06.2024
38.,Rind Road,Prembari underpass,27.06.2024
39.,Ring Road,"Both Carriageway opposite Gate
No. 22 IGI Stadium",28.06.2024
40.,Ring Road,IP College,28.06.2024
41.,Ring Road,Mandoli,28.06.2024
42.,Ring Road,Mangi Bridge,"31.07.2024
20.08.2024"
43.,Ring Road,Nehru Nagar bus stand,07.08.2024
44.,Ring Road,"Opposite Gandhi Smriti near U-
Turn",28.06.2024
45.,Ring Road,Rajghat,28.06.2024
46.,Ring Road,Salimgarh Bypass,28.06.2024
47.,Ring Road,Under Iron Bridge,28.06.2024
48.,Sai Hospital Road,Khora Chowk,28.06.2024
49.,Shalimar Bagh Road,Y-Point,28.06.2024
50.,Sham Nath Marg,Civil Lines,28.06.2024
51.,Swami Narayan Marg,Gulabi Bagh,26.07.2024
52.,Vikas Marg,Nirman Vihar,28.06.2024
53.,Ring Road,Gupta Market,"02.09.2024
17.09.2024"
54.,Anuvrat Marg,Near Qutub Minar Metro Station,"03.07.2024
26.07.2024
27.07.2024
31.07.2024
02.08.2024
07.08.2024
11.08.2024"
55.,August Kranti Marg,Siri Fort Redlight,10.07.2024
56.,Aurobindo Marg,"Green Park Metro Station / near
U Turn","28.06.2024
31.07.2024
11.08.2024"
57.,Baba Kharak Singh Marg,"Gate No. 4, RML Hospital",01.08.2024
58.,"Bahadur Shah Zafar Marg and
Jawahar Lal Nehru Marg","Under Tilak Bridge BSZ Marg
W-Point JLN Marg",20.08.2024
59.,Barapullah Road,Near Seva Nagar,28.06.2024
60.,Bhairon Road,Purana Quila,28.06.2024
61.,Bhairon Road,Railway Bridge / Bhairon Road,13.08.2024
