"Title: Water Logging Locations - 2024 (continued) (Source: Delhi Flood Control Order, 2025 - Page 80)"

,,underpass,20.08.2024
62.,Bharat Scouts & Guide Marg,Neela Gumbad,25.07.2024
63.,Captain Gaur Marg,Okhla Mandi,28.06.2024
64.,Captain Kumud Kumar Marg,Jwalaheri market,20.08.2024
65.,"Drain Road, Dwarka – Dabri",Dabri Roundabout,"15.07.2024
24.07.2024
31.07.2024
11.08.2024
12.08.2024
13.08.2024
29.08.2024
02.09.2024
04.09.2024
12.09.2024
14.09.2024"
66.,"Drain Road, Dwarka – Dabri","Sector 2/6 crossing towards
Dabri","12.08.2024
13.08.2024
29.08.2024
04.09.2024
12.09.2024
14.09.2024"
67.,"Drain Road, Dwarka – Dabri","Service Road near DTC
Terminal Sector-2, Dwarka","31.07.2024
12.08.2024
13.08.2024
29.08.2024
04.09.2024"
68.,Dwarka – Dabri Drain Road,"Power House to Dabri
Roundabout at several locations",29.08.2024
69.,Dwarka Road,"Dwarka Sector 19, 20, 21 & 23",28.06.2024
70.,Firoz Shah Road,Near blinker,20.08.2024
71.,GGR-PDR,RR Hospital,12.08.2024
72.,Girdhari Lal Goswami Marg,"Mail Motor Office, Naraina","24.07.2024
11.08.2024
12.08.2024"
73.,Goyla Dairy Road,Goyla Village,04.07.2024
74.,Kapashera - Najafgarh Road,Bijwasan to Kapashera,28.06.2024
75.,Kasturba Nagar Road,Underpass,28.06.2024
76.,Krishna Menon Marg,Tuglak Road,28.06.2024
77.,Lala Lajpat Rai Marg,Central School,31.07.2024
78.,Maa Anandmayee Marg,Govindpuri Metro Station,28.06.2024
79.,Maharishi Dayanand Marg,Kapashera,04.07.2024
80.,Mathura Road,"Gate No. 5, Pragati Maidan",01.08.2024
81.,Mathura Road,"Hazrat Nizamuddin Railway
Station",28.06.2024
82.,Mathura Road,Madanpur Khadar,28.06.2024
83.,Mathura Road,"Near Sarita Vihar Metro Station /
Apollo Hospital / Sarita Vihar
Flyover",31.07.2024
84.,"MB Road (Mehrauli – Badarpur
Road)",Air Force Station bus stand,01.08.2024
85.,"MB Road (Mehrauli – Badarpur
Road)",Batra Hospital,28.06.2024
86.,MB Road (Mehrauli – Badarpur,Gate No. 1 Sainik Farm,29.08.2024
