"Title: Water Logging Locations - 2024 (continued) (Source: Delhi Flood Control Order, 2025 - Page 81)"

,Road),,
87.,"MB Road (Mehrauli – Badarpur
Road)",Gate No. 1 and 2 Sainik Farm,12.09.2024
88.,"MB Road (Mehrauli – Badarpur
Road)",Hamdard to Badarpur,01.08.2024
89.,"MB Road (Mehrauli – Badarpur
Road)",Iron Bridge,28.06.2024
90.,"MB Road (Mehrauli – Badarpur
Road)",Near Kaya Maya Park,31.07.2024
91.,"MB Road (Mehrauli – Badarpur
Road)",Outer Ring Road,28.06.2024
92.,"MB Road (Mehrauli – Badarpur
Road)",Near Saket Metro Station,"03.07.2024
29.08.2024"
93.,Mother Teresa Crescent Marg,GKP to TMR,26.07.2024
94.,Mother Teresa Crescent Marg,"Opposite carriageway of 11
Murti",26.07.2024
95.,Mother Teresa Crescent Marg,Panchsheel Marg to 35 SP Marg,26.07.2024
96.,Najafgarh – Dhansa Road,Infront of Balaji Temple,11.08.2024
97.,Najafgarh – Dhansa Road,"Near Fire Station / Dhansa
Stand Metro Station",11.08.2024
98.,Najafgarh,Bakkarwala Cut,16.09.2024
99.,New Friends Colony,A 29,28.06.2024
100.,NH-4 8,Near APS Colony,29.08.2024
101.,NH-4 8,Shiv Murti,29.08.2024
102.,"NH-4 8, Gurugram Road",GGR-PDR,"28.06.2024
18.07.2024
26.07.2024
31.07.2024
29.08.2024
02.09.2024
14.09.2024"
103.,Nisha d Marg,Sunhari Masjid,28.06.2024
104.,Okhla Road,Crown Plaza Hotel,28.06.2024
105.,Okhla Road,Gandhi Camp,28.06.2024
106.,Okhla Road,Lotus Temple,28.06.2024
107.,Okhla Road,Near Metro Station,28.06.2024
108.,Old G urugram Road,"Kapashera Chowk to Kapashera
Border",28.06.2024
109.,Outer Ring Road,Bhera Enclave to Peeragarhi,"27.06.2024
28.06.2024"
110.,Outer Ring Road,Bhera Enclave Underpass,29.08.2024
111.,Outer Ring Road,"Chirag Delhi towards Nehru
Place","31.07.2024
11.08.2024"
112.,Outer Ring Road,Vikas Puri to Peeragarhi,24.07.2024
113.,Outer Ring Road,Y-Block Mangolpuri,20.08.2024
114.,Palam Colony Road,"Palam Metro Station to Palam
Colony under Palam Flyover",24.07.2024
115.,Panc hsheel Marg,PSL Australia Embassy,26.07.2024
116.,Patel Road,Near Kirti Nagar Metro Station,24.07.2024
117.,Police Colony Road,Sarojini Nagar,28.06.2024
118.,Rajaj i Marg,Tuglak Road,28.06.2024
119.,Rao T ula Ram Marg,Moti Bagh Chowk,23.08.2024
