"Title: Water Logging Locations - 2024 (continued) (Source: Delhi Flood Control Order, 2025 - Page 83)"

,,"to Metro Station Dwarka Sector
14",
143.,"Secto r-13 Road, Dwarka","Roundabout Raddison Blu to
Roundabout Vegas Mall (both
inclusive), near EROS Mall /
Sector 13 Metro Station, MCD
Parking, Park near R/A Vegas
Mall","29.08.2024
14.09.2024"
144.,"Secto r-14 Road, Dwarka","Near Metro Pillar No. 950A near
Round About Vegas Mall",29.08.2024
145.,"Shahid Bhagat Singh Marg,
Delhi Cantt.","Foot of Janak Setu starting from
Delhi Cantt. side","13.08.2024
29.08.2024"
146.,Pank ha Road,"At the Foot of Dabri flyover
towards Janak Cinema",12.09.2024
147.,Para de Road,Parade Road Gate No. 3,15.09.2024
148.,Sikan dra Marg,Roundabout Mandi House,27.07.2024
149.,Teen Murti Marg,Teen Murti,28.06.2024
150.,Tilak Marg,"Tilak Bridge, near ITO",28.06.2024
151.,TT Pa rk Road,Central Market,29.08.2024
152.,Tugla k Road,Roundabout Tuglak Road,03.07.2024
153.,Ulan Batar Marg,Nav Sena Bhawan,18.07.2024
154.,Ulan Batar Marg,Near Raksha Sampda Bhawan,10.07.2024
155.,Veer Banda Bairagi Marg,"Under Zakhira flyover / Zakhira
underpass","28.06.2024
24.07.2024
31.07.2024
23.08.2024"
156.,Vivek anand Marg,"Sector 1, RK Puram",28.06.2024
157.,Outer Ring Road,Paras Cinema,02.09.2024
158.,"MB Road (Mehrauli – Badarpur
Road)",SDM South Office,02.09.2024
159.,Ring Road,Safdarjung to Dhaula Kuan,04.09.2024
160.,Ring Road,Shanti Niketan,06.09.2024
161.,Naja fgarh Road,"Delhi Gate
Chawala Stand
Khaira Mor and
Sainik Enclave",10.09.2024
162.,Road No. 201,"On the carriageway from
Mangolpuri B-Block
Roundabout to TVS
Showroom",10.09.2024
163.,Shiv Das Puri Marg,Punjabi Bagh Bus Stand,10.09.2024
164.,Dada Maheshwar Road,Karala to Mundka,10.09.2024
165.,"MB Road (Mehrauli –
Badarpur Road)",Metro Station Western Marg,14.09.2024
