zone_id,rainfall_1h,rainfall_3h,rainfall_6h,elevation,slope,distance_to_drain,drain_capacity,pump_load_pct,flood_history_count,population_density,critical_infra_flag,flood_severity
ZONE-001,24.35,75.96,113.12,58.13,1.85,568.38,95.56,74.93,1,15309.99,1,Low
ZONE-002,51.91,88.23,104.81,51.51,1.82,723.83,87.43,20.19,1,24056.88,1,Low
ZONE-003,61.62,98.72,128.97,38.06,4.69,272.57,98.47,36.04,5,5138.34,0,High
ZONE-004,49.86,62.88,135.66,17.61,7.25,471.52,56.32,27.63,1,13691.21,1,Low
ZONE-005,41.7,105.8,193.15,38.64,5.62,752.7,31.82,82.14,1,23257.48,1,Medium
ZONE-006,41.95,48.78,133.03,35.33,4.87,112.57,41.01,83.32,0,16926.91,0,Low
ZONE-007,77.96,103.02,133.06,16.42,1.16,815.65,47.01,61.07,2,12064.19,1,Medium
ZONE-008,76.26,109.06,120.79,29.47,1.61,780.78,43.26,97.21,1,5023.82,1,Medium
ZONE-009,70.85,108.91,142.77,54.48,4.56,640.33,34.85,88.51,3,22390.52,1,High
ZONE-010,89.39,96.05,140.07,58.08,4.11,357.6,58.55,51.05,1,9412.84,0,Low
ZONE-011,34.82,62.61,151.02,30.08,2.7,448.22,93.2,31.46,4,14667.3,1,High
ZONE-012,47.07,106.83,161.83,51.12,4.52,550.23,61.53,47.43,0,14136.28,1,Low
ZONE-013,17.37,48.39,109.96,14.21,7.72,768.05,49.91,40.88,3,14856.21,0,Medium
ZONE-014,33.36,109.26,157.04,39.24,3.97,63.65,32.41,43.44,2,22484.27,0,Medium
ZONE-015,53.38,121.27,214.31,49.12,6.13,76.75,93.79,98.25,0,12722.32,0,Low
ZONE-016,94.44,168.72,240.97,47.33,2.53,572.98,33.72,66.53,2,7130.42,1,High
ZONE-017,75.46,113.97,163.52,22.35,6.94,276.7,36.58,50.21,1,5472.6,0,Medium
ZONE-018,10.63,75.51,99.32,56.34,6.42,481.44,53.74,52.04,1,17795.75,0,Low
ZONE-019,79.04,126.8,223.94,57.6,2.76,106.19,42.25,61.89,2,2350.57,0,Medium
ZONE-020,55.62,75.62,164.24,16.78,3.78,290.89,95.84,66.04,2,6780.3,0,Medium
ZONE-021,31.27,90.76,123.36,36.78,3.25,928.68,56.33,14.95,5,2260.82,0,High
