SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,25-06-2023 14:30,0.1
2,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,25-06-2023 15:30,0.1
3,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,25-06-2023 16:30,0.2
4,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,25-06-2023 17:30,0.1
5,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,15-07-2023 23:30,7
6,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,16-07-2023 00:30,2.5
7,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,16-07-2023 03:30,0.5
8,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,18-07-2023 19:30,20
9,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,05-08-2023 13:30,2.5
10,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,05-08-2023 14:30,1.5
11,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,05-08-2023 15:30,0.5
12,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,17-08-2023 06:00,0.5
13,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,19-08-2023 04:00,3
14,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,22-08-2023 22:00,1
15,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,23-08-2023 08:00,1
16,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,23-08-2023 09:00,2
17,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,23-08-2023 10:00,3.5
18,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,23-08-2023 11:00,1
19,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,23-08-2023 12:00,0.5
20,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,09-09-2023 23:00,10.5
21,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,10-09-2023 00:00,1
22,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,10-09-2023 02:00,2
23,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,10-09-2023 03:00,0.5
24,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,10-09-2023 04:00,3.5
25,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,10-09-2023 06:00,1
26,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,10-09-2023 07:00,0.5
27,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,16-09-2023 18:00,0.5
28,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,31-01-2024 13:00,1
29,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,31-01-2024 17:00,0.5
30,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,31-01-2024 18:00,0.5
31,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,01-02-2024 02:00,0.5
32,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,01-02-2024 04:00,0.5
33,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,01-02-2024 06:00,1
34,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,03-03-2024 02:00,0.5
35,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,13-04-2024 18:00,0.5
36,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,22-04-2024 08:00,2
37,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,24-06-2024 19:00,0.5
38,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,27-06-2024 08:00,3.5
39,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,28-06-2024 04:00,1.5
40,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,28-06-2024 05:00,2
41,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,28-06-2024 06:00,3
42,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,28-06-2024 07:00,1.5
43,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,28-06-2024 08:00,0.5
44,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,09-07-2024 11:00,47
45,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,22-07-2024 13:00,2
46,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,22-07-2024 14:00,0.5
47,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,26-07-2024 09:00,0.5
48,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,27-07-2024 10:00,7
49,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,27-07-2024 11:00,0.5
50,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,27-07-2024 16:00,0.5
51,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,31-07-2024 22:00,7
52,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,01-08-2024 00:00,0.5
53,Alipur Store,Delhi SW GW,7,Delhi,80,NORTH,-,-,-,-,-,-,-,-,-,77.11903800,28.79679900,24-12-2024 19:00,1
