source_page,section_year,row_number,road,location,date_values,event_date,event_year,event_month,event_day,event_count,outcome_source,flood_outcome,label
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2020-08-13,2020,8,13,7,Delhi Flood Control Order water-logging incident list,1,1
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2020-08-17,2020,8,17,7,Delhi Flood Control Order water-logging incident list,1,1
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2020-08-19,2020,8,19,7,Delhi Flood Control Order water-logging incident list,1,1
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2022-01-23,2022,1,23,7,Delhi Flood Control Order water-logging incident list,1,1
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2023-07-08,2023,7,8,7,Delhi Flood Control Order water-logging incident list,1,1
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2023-07-09,2023,7,9,7,Delhi Flood Control Order water-logging incident list,1,1
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2023-09-10,2023,9,10,7,Delhi Flood Control Order water-logging incident list,1,1
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2020-06-22,2020,6,22,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2020-06-22,2020,6,22,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2020-06-22,2020,6,22,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2022-05-23,2022,5,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2023-03-18,2023,3,18,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2023-03-18,2023,3,18,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,1,Bhairon Road,Uchandbnder Railway Bridge,2020-08-13|2020-08-17|2020-08-19|2022-01-23|2023-07-08|2023-07-09|2023-09-10,2023-03-18,2023,3,18,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,2,Maulana Azad Road,Parking Behind Vigyan Bhawan,2021-08-31|2022-01-23,2021-08-31,2021,8,31,2,Delhi Flood Control Order water-logging incident list,1,1
58,2022,2,Maulana Azad Road,Parking Behind Vigyan Bhawan,2021-08-31|2022-01-23,2022-01-23,2022,1,23,2,Delhi Flood Control Order water-logging incident list,1,1
58,2022,2,Maulana Azad Road,Parking Behind Vigyan Bhawan,2021-08-31|2022-01-23,2021-05-19,2021,5,19,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,2,Maulana Azad Road,Parking Behind Vigyan Bhawan,2021-08-31|2022-01-23,2022-05-23,2022,5,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,3,Rajpath,Suoth Rajpath,2022-01-23,2022-01-23,2022,1,23,1,Delhi Flood Control Order water-logging incident list,1,1
58,2022,3,Rajpath,Suoth Rajpath,2022-01-23,2022-05-23,2022,5,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,4,Ring Road,In front of WHO Building,2020-07-21|2022-01-23,2020-07-21,2020,7,21,2,Delhi Flood Control Order water-logging incident list,1,1
58,2022,4,Ring Road,In front of WHO Building,2020-07-21|2022-01-23,2022-01-23,2022,1,23,2,Delhi Flood Control Order water-logging incident list,1,1
58,2022,4,Ring Road,In front of WHO Building,2020-07-21|2022-01-23,2020-06-22,2020,6,22,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,4,Ring Road,In front of WHO Building,2020-07-21|2022-01-23,2022-05-23,2022,5,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,5,DND Flyway,At merging point Sarai Kale Khan,2022-09-02,2022-09-02,2022,9,2,1,Delhi Flood Control Order water-logging incident list,1,1
58,2022,5,DND Flyway,At merging point Sarai Kale Khan,2022-09-02,2022-01-23,2022,1,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,6,NH-24,Gazipur Mandi near Murge Market,2022-09-02,2022-09-02,2022,9,2,1,Delhi Flood Control Order water-logging incident list,1,1
58,2022,6,NH-24,Gazipur Mandi near Murge Market,2022-09-02,2022-01-23,2022,1,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,7,NH-44,Near Apple Mandi Khampur village and near Banku Rasai,2022-08-05,2022-08-05,2022,8,5,1,Delhi Flood Control Order water-logging incident list,1,1
58,2022,7,NH-44,Near Apple Mandi Khampur village and near Banku Rasai,2022-08-05,2022-01-23,2022,1,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,8,Gurugram- Parade Road,GGR- PDR,2022-05-23|2022-07-20|2022-07-28,2022-05-23,2022,5,23,3,Delhi Flood Control Order water-logging incident list,1,1
58,2022,8,Gurugram- Parade Road,GGR- PDR,2022-05-23|2022-07-20|2022-07-28,2022-07-20,2022,7,20,3,Delhi Flood Control Order water-logging incident list,1,1
58,2022,8,Gurugram- Parade Road,GGR- PDR,2022-05-23|2022-07-20|2022-07-28,2022-07-28,2022,7,28,3,Delhi Flood Control Order water-logging incident list,1,1
58,2022,8,Gurugram- Parade Road,GGR- PDR,2022-05-23|2022-07-20|2022-07-28,2022-01-23,2022,1,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,8,Gurugram- Parade Road,GGR- PDR,2022-05-23|2022-07-20|2022-07-28,2022-01-23,2022,1,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,8,Gurugram- Parade Road,GGR- PDR,2022-05-23|2022-07-20|2022-07-28,2022-01-23,2022,1,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-05-23,2022,5,23,8,Delhi Flood Control Order water-logging incident list,1,1
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-06-30,2022,6,30,8,Delhi Flood Control Order water-logging incident list,1,1
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-07-11,2022,7,11,8,Delhi Flood Control Order water-logging incident list,1,1
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-07-16,2022,7,16,8,Delhi Flood Control Order water-logging incident list,1,1
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-07-20,2022,7,20,8,Delhi Flood Control Order water-logging incident list,1,1
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-08-05,2022,8,5,8,Delhi Flood Control Order water-logging incident list,1,1
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-09-22,2022,9,22,8,Delhi Flood Control Order water-logging incident list,1,1
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-10-08,2022,10,8,8,Delhi Flood Control Order water-logging incident list,1,1
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-01-23,2022,1,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
58,2022,9,New Rohtak Road,Anand Parbat near Gali No. 10/ Zakhira to Anand Parbat,2022-05-23|2022-06-30|2022-07-11|2022-07-16|2022-07-20|2022-08-05|2022-09-22|2022-10-08,2022-01-23,2022,1,23,0,Delhi Flood Control Order: location absent from water-logging incident list on this date,0,0
